id,view1,view2,view3,view4,view5,view6,view7,view8,view9,view10,view11,df
73a7f8343115bda490241742,17.6,7.19,4.448,5.488,3.872,3.778,4.145,3.948,3.177,2.884,3.159,v21
76cae26b8a271b50574d282a,44.849,23.206,69.56399999999999,123.451,41.433,60.143,66.15900000000001,59.27,0,.657,.531,v21
77158ca0e23cb1f35b433df2,10.607,5.898,6.031,6.583,3.897,6.014,6.1,6.062,4.052,4.933,3.635,v21
79c6b8df21b45d91f75153f6,11.558,4.074,3.237,2.796,2.429,1.688,1.611,2.073,6.973,2.935,1.97,v21
79e81ae1dbc3906b889556c1,8.801,3.673,3.332,4.335,7.173,1.376,1.075,2.505,2.886,5,1.8,v21
7af635fb4f5d1c9b03ef8ac6,12.315,17.638,1.934,3.895,4.484,3.214,2.718,6.196,1.762,1.659,4.86,v21
7f23b4fc230d6666fe05f9de,11.315,3.59,3.192,3.095,2.036,2.518,2.352,1.133,1.527,.8,3.236,v21
8033984163dd1d26b69c88c2,11.747,6.019,4.729,5.562,3.014,4.775,3.327,3.103,2.204,3.2,2.856,v21
80a71cd2623054367d09b499,1.722,1.451,2.632,4.518,1.428,4.6,1.131,2.085,.701,27.736,.618,v21
80b451bb20c2d089613417c0,8.972,7.482,6.351,4.133,3.3,5.134,4.509,7.32,3.561,2.397,1.46,v21
80b4ca0f52c957e0471c2923,6.734,6.072,2.666,3.792,4.139,4.971,2.814,2.573,2.257,2.219,1.981,v21
8104195baa365b2a85813030,28.291,11.995,21.799,9.25,9.242000000000001,6.933,13.547,14.226,6.561,7.776,5.405,v21
81d962f4070ca300340e1eb3,8.082000000000001,4.43,1.381,.983,.998,.876,.701,.666,.832,.859,.777,v21
81e4dff987e53394d56ae5fb,4.088,1.745,.9429999999999999,1.208,.862,1.072,2.057,.883,1.013,.968,1.094,v21
833c77e27efe7bfb0ff08ee3,19.503,8.047000000000001,6.626,6.653,7.149,6.321,10.137,12.182,6.523,5.122,6.129,v21
8346129cb4d9159d806ca091,9.41,4.548,3.272,2.146,3.583,3.907,3.905,3.113,3.066,3.365,4.486,v21
86ebe03cd2057c6b25110319,3.489,.635,.377,1.683,1.622,1.45,1.39,1.49,.421,.195,1.073,v21
86f7683e65f71e256b7bdbfd,6.684,4.006,2.721,3.553,3.626,3.378,2.664,3.923,4.521,2.666,4.374,v21
87038aa216e6a4c39c2c40bd,12.439,5.1,4.843,6.247,6.775,8.401,5.601,4.333,5.777,4.089,5.44,v21
87398a1658ab81f53212931a,9.615,4.845,5.031,4.057,4.231,2.14,2.586,2.378,2.46,1.919,1.67,v21
89043b747a297a2a0d2c5733,3.596,1.231,2.101,.868,1.8,.5600000000000001,.919,.6850000000000001,.663,.588,.931,v21
891d1ecab89f2e8841ac119a,13.982,1.254,1.126,1.9,.966,.714,.858,3.021,1.657,.892,.755,v21
89a4dd19e27017987fb6e53a,190.382,2.501,2.362,1.54,9.843999999999999,1.549,1.213,1.322,1.359,.849,1.174,v21
89cd27f4077108726c1c1285,2.328,3.243,2.505,2.316,1.236,1.529,1.004,.447,.457,.365,.695,v21
8a0b6a9b50e5954c9b7434cb,9.702999999999999,7.32,5.78,6.574,4.656,3.581,36.215,255.304,1.194,1.109,.874,v21
8a70db71d9ae4c43eb45c99a,10.034,7.117,3.109,4.527,2.281,3.944,2.381,4.143,2.653,1.46,1.973,v21
90047f3d8bbef33b91feea56,13.191,11.44,5.223,5.134,5.207,2.433,4.136,2.492,3.696,3.16,1.977,v21
90c006ae56958122da7b76db,38.351,14.107,6.161,2.058,3.412,3.679,2.512,2.56,4.211,3.546,3.133,v21
917804e460d51174e3c2d4e8,45.515,12.964,17.591,13.167,13.112,14.184,13.143,12.209,13.189,14.215,104.451,v21
91a49ed9b1f2edd33958b692,20.876,31.679,3.212,2.303,1.912,1.697,3.862,2.366,2.352,1.844,3.614,v21
91dabfdd64b73eacfaeac10d,21.667,12.554,3.383,4.243,2.162,2.095,2.107,3.202,3.539,2.879,2.706,v21
920c9a24f7b26a541c709273,28.353,8.801,10.002,6.415,7.539,4.601,5.201,4.787,8.073,5.871,4.316,v21
